country,industry_share_2000,manufacturing_share_2000,industry_share_2025,manufacturing_share_2025,industry_share_2024,manufacturing_share_2024,gdp_cagr_2000_2024,industry_cagr_2000_2024,manufacturing_cagr_2000_2024,manufacturing_share_2015,manufacturing_cagr_2000_2015,industry_share_2023,manufacturing_share_2023,industry_cagr_2000_2023,manufacturing_cagr_2000_2023,industry_share_2015,industry_cagr_2000_2015
AUS,0.235576,0.090724,,,0.203457,0.050546,0.027354,0.021099,0.002618,,,,,,,,
BEL,0.215385,0.144169,,,0.176871,0.112334,0.015671,0.007368,0.005167,,,,,,,,
BRA,0.222305,0.136517,,,0.177229,0.092796,0.022592,0.012982,0.006275,,,,,,,,
CAN,0.272548,0.149115,,,0.224940,0.086502,0.019148,0.011028,-0.003716,,,,,,,,
CHN,0.364640,,,,0.377069,,0.081419,0.082931,,0.283890,,,,,,,
DEU,0.271659,0.186868,,,0.232544,0.193316,0.010145,0.003622,0.011574,,,,,,,,
DNK,0.250303,0.132997,,,0.254553,0.207227,0.013535,0.014246,0.032438,,,,,,,,
FIN,0.255942,0.167228,,,0.217629,0.140354,0.010905,0.004098,0.003553,,,,,,,,
FRA,0.198281,0.113366,,,0.158064,0.098791,0.012358,0.002841,0.006570,,,,,,,,
GBR,0.226991,0.090623,,,0.164043,0.092709,0.015151,0.001506,0.016114,,,,,,,,
ITA,0.238422,0.155461,,,0.215705,0.140128,0.003795,-0.000384,-0.000538,,,,,,,,
JPN,0.311385,0.196065,,,,,0.006034,,,,,0.302241,0.218693,0.004948,0.011041,,
MEX,0.340273,0.221218,,,0.290195,0.200358,0.014972,0.008262,0.010792,,,,,,,,
NLD,0.199438,0.103887,,,0.175466,0.111234,0.014776,0.009376,0.017670,,,,,,,,
TUR,0.242817,0.154083,,,0.251286,0.163360,0.049396,0.050896,0.051955,,,,,,,,
USA,,,,,,,0.021169,,,0.116623,,,,,,0.185871,
ZAF,0.282628,0.146952,,,0.199790,0.112153,0.021089,0.006438,0.009657,,,,,,,,
